"Ticker","Nazwa emitenta","Data autoryzacji","Data pierwszego notowania","Data wykupu","Rodzaj oprocentowania obligacji","Oprocentowanie w bieżącym okresie odsetkowym (%)","Strona www emitenta","Wartosc nominalna","Wartosc emisji","Odsetki skumulowane","Waluta"
"PCR1023","PCC ROKITA","2017-10-30","2017-10-30","2023-10-11","stałe","5","www.pcc.rokita.pl; www.pccinwestor.pl","100,00","25 000 000,00","0,21","PLN"
"PCR1026","PCC ROKITA","2019-11-14","2019-11-14","2026-10-22","stałe","5.5","www.pcc.rokita.pl; www.pccinwestor.pl","100,00","15 000 000,00","0,06","PLN"
"PCR1223","PCC ROKITA","2018-01-17","2018-01-17","2023-12-20","stałe","5","www.pcc.rokita.pl; www.pccinwestor.pl","100,00","30 000 000,00","0,51","PLN"
"PCX0925","PCC EXOL","2020-07-09","2020-07-09","2025-09-24","stałe","5.5","www.pcc-exol.pl","100,00","25 000 000,00","0,50","PLN"
"PCX1124","PCC EXOL","2020-03-18","2020-03-18","2024-11-27","stałe","5.5","www.pcc-exol.pl","100,00","20 000 000,00","0,87","PLN"
"PEO0426","PEKAO","2023-04-14","2023-04-14","2026-04-03","zmienne","9.36","www.pekao.com.pl","500 000,00","750 000 000,00","2 820,82","PLN"
"PEO0631","PEKAO","2019-07-15","2019-07-15","2031-06-04","zmienne","9.16","www.pekao.com.pl","500 000,00","750 000 000,00","17 818,08","PLN"
"PEO1027","PEKAO","2017-12-12","2017-12-12","2027-10-29","zmienne","9.17","www.pekao.com.pl","1 000,00","1 250 000 000,00",NA,"PLN"
"PEO1028","PEKAO","2019-01-10","2019-01-10","2028-10-16","zmienne","8.5","www.pekao.com.pl","500 000,00","550 000 000,00","1 164,38","PLN"
"PEO1033","PEKAO","2019-01-10","2019-01-10","2033-10-14","zmienne","8.75","www.pekao.com.pl","500 000,00","200 000 000,00","1 198,63","PLN"
"PGE0526","PGE","2019-08-21","2019-08-21","2026-05-21","zmienne","8.8","www.gkpge.pl","1 000,00","400 000 000,00","37,37","PLN"
"PGE0529","PGE","2019-08-21","2019-08-21","2029-05-21","zmienne","9","www.gkpge.pl","1 000,00","1 000 000 000,00","38,22","PLN"
"PGF0924","POLSKA GRUPA FARMACEUTYCZNA","2022-09-16","2022-09-16","2024-09-09","zmienne","9.29","www.pgf.com.pl","1 000,00","130 000 000,00","11,96","PLN"
"PHN0623","POLSKI HOLDING NIERUCHOMOŚCI","2019-08-29","2019-08-29","2023-06-05","zmienne","9.86","www.phnsa.pl","1 000,00","160 000 000,00","38,09","PLN"
"PHN1224","POLSKI HOLDING NIERUCHOMOŚCI","2021-02-22","2021-02-22","2024-12-10","zmienne","10.31","www.phnsa.pl","1 000,00","325 000 000,00","38,42","PLN"
"PKN1225","PKN ORLEN","2020-12-29","2020-12-29","2025-12-22","zmienne","8.14","www.orlen.pl","100 000,00","1 000 000 000,00","2 765,37","PLN"
